"input text","origin case+#chunk","output text"
"Accordingly, we affirm the district court's judgment of dismissal. BACKGROUND I. Factual Background4 A. Hanley's Sexual Assault of Clark In November 2007, Clark was incarcerated at the MacDougall-Walker Correctional Institution (""MacDougall-Walker"") in Suffield, Connecticut, where she was serving a 75-year term of imprisonment based on her conviction earlier that year, pursuant to a guilty plea, on charges of murder, assault, and burglary. Based on her prior experience as an electrician, the facility assigned Clark to assist with various electrical projects in the facility's general maintenance department, placing her under the supervision of Hanley, MacDougall-Walker's General Maintenance Officer.","Clark v. Hanley, 89 F.4th 78#5",""
"As set forth in the Second Amended Complaint, Hanley was running a smuggling ring at MacDougall-Walker at the time, supplying inmates with contraband, such as illegal narcotics and alcohol, in exchange for payment. Tipped off to Hanley's illicit scheme, the Connecticut Department of Correction (""DOC"") initiated a formal investigation into Hanley in 2010 that uncovered not only his smuggling activities, but also his pattern of propositioning inmates with sexual behavior. Clark alleges that several high-ranking officials at MacDougall-Walker—including Defendants-Appellees Warden Peter Murphy, Director of Security Kimberly Weir, and Intelligence and Security Unit Captains Kevin Manley (""Manley""), and Roberto Quiros (collectively, the ""MacDougall-Walker Defendants"")—knew of Hanley's abusive tendencies yet did nothing to address them.","Clark v. Hanley, 89 F.4th 78#6",""
"Clark further contends that MacDougall-Walker maintained policies that facilitated her abuse by allowing Hanley and other staff to isolate inmates from the general prison population free from oversight and outside the purview of any video surveillance or inmate tracking systems. On at least five occasions spanning the spring and summer of 2011, Hanley sexually assaulted Clark, leveraging his authority to coerce her into performing sexual acts. Hanley's initial physical encounter with Clark occurred in April 2011 and escalated over the ensuing days and weeks to include oral sex on one occasion and mutual masturbation on four occasions.","Clark v. Hanley, 89 F.4th 78#7",""
"Typically, Hanley would isolate Clark from other inmates under the pretext of needing assistance on a maintenance project. According to Clark, none of the incidents involved the use of physical force or threats of force: ""Hanley did not threaten me to perform any sexual acts but said he would take [care] of me by feeding me well. I kind of felt obligated into engaging in the sexual acts with Hanley."" App'x 139.","Clark v. Hanley, 89 F.4th 78#8",""
"The assaults occurred outside the view of security cameras. Apprised of his conduct, the DOC placed Hanley on leave in August 2011, and he resigned shortly thereafter. Hanley was arrested in connection with his assaults on Clark in December 2011 and eventually pleaded guilty to three counts of sexual assault in the fourth degree.","Clark v. Hanley, 89 F.4th 78#9",""
"B. The Aftermath of the Assaults The Second Amended Complaint sets forth Clark's claims regarding the aftermath of the assaults in fourteen paragraphs. Clark alleges that the string of sexual assaults ""deeply and profoundly scarred"" her, making it ""difficult for her to carry out ordinary functions, let alone process her assaults and attempt to secure justice while incarcerated."" App'x 123. She was initially reluctant to participate in the DOC's investigation of Hanley but in August 2011 provided Connecticut state police with a statement detailing Hanley's sexual assaults.5 Clark requested transfer to another facility.","Clark v. Hanley, 89 F.4th 78#10",""
"The DOC first transferred Clark from MacDougall-Walker to Corrigan Correctional Center (""Corrigan"") around September 2011. Clark alleges that she suffered physical and mental abuse at the hands of a cellmate at Corrigan, causing her to initiate a hunger strike to bring about transfer to another facility. The DOC transferred Clark in early 2012, but back to MacDougall-Walker, further stoking her trauma.","Clark v. Hanley, 89 F.4th 78#11",""
"Clark alleges that on her return to MacDougall-Walker, corrections officers taunted her for being the victim of Hanley's sex crimes and told her she was ""gross,"" ""nasty,"" and ""disgusting."" Clark again went on hunger strike and told one of her physicians that she would kill herself if she were not transferred out of MacDougall-Walker. She was then transferred to the Garner Correctional Facility (""Garner""), an inpatient psychiatric facility, where she ""was placed on suicide watch and carefully evaluated."" App'x 124. About two weeks later, still in early 2012, she was discharged from the inpatient facility and transferred to the Cheshire Correctional Institution (""Cheshire""), where she remained for the next four and a half years, until mid-2016.","Clark v. Hanley, 89 F.4th 78#12",""
"The Second Amended Complaint alleges, without specification as to the dates or frequency of such events, that Clark encountered corrections officers at Cheshire who were at MacDougall-Walker around the time of the assaults in 2011, and that inmates at Cheshire openly mocked and diminished the abuse she suffered at the hands of Hanley as ""gay stuff."" App'x 124. Clark also alleges that Cheshire officials repeatedly denied her treatment for gender dysphoria, resulting in a crisis in July 2016 when she attempted to castrate herself with a pair of nail clippers.6 Clark alleges that she received outpatient treatment at a medical facility in the aftermath of this incident and was then sent briefly to the infirmary at MacDougall-Walker, where she was hospitalized and declared to be an ongoing self-harm risk. Later in 2016, she was transferred back to Garner, where she remained at the time she filed suit in 2018.","Clark v. Hanley, 89 F.4th 78#13",""
"In 2020, Clarke returned first to MacDougall-Walker and then to Cheshire, where she is currently housed. II. Procedural Background A. Filing the Instant Suit and Clark's First Appeal Clark commenced this lawsuit by filing a pro se complaint in October 2018, over seven years after Hanley's abuse.","Clark v. Hanley, 89 F.4th 78#14",""
"In January 2019, before the Defendants appeared in the case, the district court sua sponte dismissed Clark's suit as untimely under the three-year statute of limitations applicable to her § 1983 claims. See Clark v. Hanley, No. 18 Civ. 1765 (JAM), 2019 U.S. Dist. LEXIS 11189, 2019 WL 319398 (D. Conn. Jan. 23, 2019).","Clark v. Hanley, 89 F.4th 78#15",""
"Clark, still proceeding pro se, appealed the district court's dismissal and filed a motion to extend the statute of limitations. See Clark v. Hanley, No. 19-502, Dkt. No. 14 (2d Cir. 2019).","Clark v. Hanley, 89 F.4th 78#16",""
"She argued in her motion that the statute of limitations should be tolled because she ""lived in absolute terror of filing this lawsuit"" after what happened with Hanley. App'x 22. A motions panel of this Court concluded that Clark should have the opportunity to present her equitable tolling arguments, on the general principle that ""a district court should not sua sponte dismiss a complaint as untimely without first granting a litigant notice and an opportunity to be heard."" App'x 104 (citing Abbas v. Dixon, 480 F.3d 636, 640 (2d Cir. 2007)).","Clark v. Hanley, 89 F.4th 78#17",""
"We thus remanded the case to allow Clark to move before the district court for reconsideration of the dismissal of her complaint, at the same time suggesting that the district court consider the appointment of pro bono counsel. B. The Proceedings on Remand On remand, now with the assistance of pro bono counsel, Clark filed an amended complaint to detail Hanley's pattern of sexual assault, the institutional failures that allegedly enabled the abuse, and the abuse-related trauma she suffered. The Second Amended Complaint, which is the operative pleading, asserts two claims under 42 U.S.C. § 1983 for violation of Clark's Eighth Amendment rights—one against Hanley for sexually assaulting her and the other against the MacDougall-Walker Defendants for being deliberately indifferent to abusive conditions of confinement—and three claims under Connecticut state law for intentional infliction of emotional distress, recklessness, and intentional sexual assault.7 As relevant to her equitable tolling argument, the Second Amended Complaint alleges that Clark was ""not in a position to seek justice any earlier than when she did"" due to the impact of the sexual assaults, her fragile mental state, and mistreatment by prison officials and inmates during the years after the assault.","Clark v. Hanley, 89 F.4th 78#18",""
"App'x 123-25. Hanley and the MacDougall-Walker Defendants each filed motions to dismiss pursuant to Federal Rule of Civil Procedure 12(b)(6), arguing that Clark's claims were time-barred. The Defendants argued that, even as supplemented by her amended pleadings, Clark failed to show extraordinary circumstances and appropriate diligence so as to warrant equitable tolling.","Clark v. Hanley, 89 F.4th 78#19",""
"The Defendants emphasized that the Second Amended Complaint does not allege any attempt by Clark to file this action between 2011 and 2018, despite her demonstrated capacity to commence legal proceedings during this period, as evidenced by a habeas petition she prepared in November 2011.8 Clark argued in opposition that her circumstances warranted equitable tolling and that resolution of this fact-laden issue was premature at the pleading stage. The court heard oral argument on the Defendants' motions to dismiss and proposed holding a hearing to assess Clark's claim for equitable tolling. Clark's counsel noted that he had an ""issue"" with the proposal because equitable tolling is ""a factually intense question,"" A557-58, and he had not yet received sought-after discovery relating to Clark's prison medical records, the assault circumstances, and retaliation by other prison officials.","Clark v. Hanley, 89 F.4th 78#20",""
"A560. Clark's counsel did not object to the idea of a limited evidentiary hearing but stated ""I would just be a little bit concerned, Your Honor, if there were an evidentiary hearing . . . that cabined the inquiry on the exceptional circumstances to just sort of a very narrow aspect of it without giving us the benefit of fully exploring those issues."" App'x 566. Counsel requested that ""[i]f the Court is inclined to consider an evidentiary hearing,"" the Defendants should be ordered to provide the requested discovery.","Clark v. Hanley, 89 F.4th 78#21",""
"App'x 570-71. Ultimately, the court decided ""to conduct an evidentiary hearing to decide if Clark can sustain her burden to establish grounds for equitable tolling."" SPA1. The district court provided that Clark's full medical file should be provided to the plaintiff, along with the ""already requested discovery,"" and that ""the hearing should be limited to the testimony of Clark and to . . . any exhibits or documents that are not presently in the record and that any party wishes the Court to consider that bear on the issue of equitable tolling."" App'x 578, SPA2.","Clark v. Hanley, 89 F.4th 78#22",""
"In accordance with this instruction, the parties submitted a list of exhibits, which included, among other things, a selection of Clark's medical records and filings made in Clark's habeas case. C. The Evidentiary Hearing The district court held the evidentiary hearing on September 20, 2021, which consisted of direct and cross examinations of Clark, questioning by the court, and oral argument from counsel. Clark admitted that she failed to take even preliminary steps to commence suit until 2016, notwithstanding that she both provided a detailed account of the crimes to Connecticut police in November 2011 and, during the same month, pursued habeas relief based on the claim that her attorney rendered ineffective assistance of counsel in her criminal case.","Clark v. Hanley, 89 F.4th 78#23",""
"In broad strokes, Clark described two, interrelated reasons for her inability to file this civil case within the limitations period: (1) her fear that bringing suit against Hanley and other high-level DOC officials would invite retaliation from corrections staff, as evidenced by their ridiculing her as a victim of sexual assault; and (2) the severe psychological trauma she suffered related to the abuse, which aggravated her gender dysphoria and heightened her fear of coming out as transgender in prison. She argued that the statute of limitations should be equitably tolled until at least October 2015—three years before she filed her complaint. On her fear of retaliation, Clark repeatedly testified that she feared DOC personnel would retaliate against her for filing this lawsuit.9 See, e.g., App'x 360 (""I was afraid of the COs and the staff and retaliation for filing the lawsuit"").","Clark v. Hanley, 89 F.4th 78#24",""
